기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20231,1111053000,사직동,CS200004,컴퓨터학원,1,1,0,0,0,0,0
20231,1111053000,사직동,CS200005,스포츠 강습,19,20,5,1,10,2,1
20231,1111053000,사직동,CS200006,일반의원,41,41,0,0,2,1,0
20231,1111053000,사직동,CS200007,치과의원,25,25,0,0,0,0,0
20231,1111053000,사직동,CS200008,한의원,16,16,0,0,0,0,0
20231,1111053000,사직동,CS200009,동물병원,1,1,0,0,0,0,0
20231,1111053000,사직동,CS200010,변호사사무소,41,41,2,1,0,0,0
20231,1111053000,사직동,CS200011,변리사사무소,5,5,0,0,0,0,0
20231,1111053000,사직동,CS200012,법무사사무소,10,10,0,0,10,1,0
20231,1111053000,사직동,CS200013,기타법무서비스,12,12,0,0,8,1,0
20231,1111053000,사직동,CS200014,회계사사무소,3,3,0,0,0,0,0
20231,1111053000,사직동,CS200015,세무사사무소,24,24,0,0,0,0,0
20231,1111053000,사직동,CS200016,당구장,14,14,0,0,0,0,0
20231,1111053000,사직동,CS200017,골프연습장,3,4,0,0,0,0,1
20231,1111053000,사직동,CS200019,PC방,1,1,0,0,0,0,0
20231,1111053000,사직동,CS200020,전자게임장,1,1,0,0,0,0,0
20231,1111053000,사직동,CS200021,기타오락장,7,7,0,0,0,0,0
20231,1111053000,사직동,CS200023,통신기기수리,1,1,0,0,0,0,0
20231,1111053000,사직동,CS200024,스포츠클럽,14,14,0,0,0,0,0
20231,1111053000,사직동,CS200025,자동차수리,4,6,0,0,0,0,2
20231,1111053000,사직동,CS200028,미용실,27,27,0,0,0,0,0
20231,1111053000,사직동,CS200029,네일숍,14,14,0,0,0,0,0
20231,1111053000,사직동,CS200030,피부관리실,20,22,9,2,5,1,2
20231,1111053000,사직동,CS200031,세탁소,13,14,0,0,0,0,1
20231,1111053000,사직동,CS200032,가전제품수리,1,1,0,0,0,0,0
20231,1111053000,사직동,CS200033,부동산중개업,104,104,0,0,4,4,0
20231,1111053000,사직동,CS200034,여관,6,6,0,0,0,0,0
20231,1111053000,사직동,CS200035,게스트하우스,21,21,0,0,0,0,0
20231,1111053000,사직동,CS200036,고시원,4,4,0,0,0,0,0
20231,1111053000,사직동,CS200037,노래방,9,9,0,0,0,0,0
20231,1111053000,사직동,CS200038,독서실,2,2,50,1,0,0,0
20231,1111053000,사직동,CS200040,녹음실,1,1,0,0,0,0,0
20231,1111053000,사직동,CS200041,사진관,14,14,0,0,0,0,0
20231,1111053000,사직동,CS200042,통번역서비스,12,12,0,0,0,0,0
20231,1111053000,사직동,CS200043,건축물청소,8,8,0,0,0,0,0
20231,1111053000,사직동,CS200044,여행사,412,412,0,1,2,6,0
20231,1111053000,사직동,CS200046,의류임대,13,13,0,0,0,0,0
20231,1111053000,사직동,CS200047,가정용품임대,1,1,0,0,0,0,0
20231,1111053000,사직동,CS300001,슈퍼마켓,56,58,2,1,2,1,2
20231,1111053000,사직동,CS300002,편의점,1,33,0,0,3,1,32
20231,1111053000,사직동,CS300003,컴퓨터및주변장치판매,27,27,0,0,0,0,0
20231,1111053000,사직동,CS300004,핸드폰,10,10,0,0,0,0,0
20231,1111053000,사직동,CS300005,주류도매,6,6,0,0,17,1,0
20231,1111053000,사직동,CS300006,미곡판매,8,8,0,0,0,0,0
20231,1111053000,사직동,CS300007,육류판매,4,4,25,1,0,0,0
20231,1111053000,사직동,CS300008,수산물판매,4,4,0,0,0,0,0
20231,1111053000,사직동,CS300009,청과상,5,5,0,0,0,0,0
20231,1111053000,사직동,CS300010,반찬가게,35,35,0,0,0,0,0
20231,1111053000,사직동,CS300011,일반의류,82,82,2,2,1,1,0
20231,1111053000,사직동,CS300012,한복점,15,15,27,4,0,0,0
20231,1111053000,사직동,CS300013,유아의류,10,10,0,0,0,0,0
20231,1111053000,사직동,CS300014,신발,6,6,0,0,0,0,0
20231,1111053000,사직동,CS300015,가방,9,9,0,0,0,0,0
20231,1111053000,사직동,CS300016,안경,8,9,0,0,0,0,1
20231,1111053000,사직동,CS300017,시계및귀금속,58,58,0,0,2,1,0
20231,1111053000,사직동,CS300018,의약품,29,32,3,1,0,0,3
20231,1111053000,사직동,CS300019,의료기기,6,6,0,0,0,0,0
20231,1111053000,사직동,CS300020,서적,24,24,0,0,0,0,0
20231,1111053000,사직동,CS300021,문구,22,28,0,0,0,0,6
20231,1111053000,사직동,CS300022,화장품,52,56,0,0,2,1,4
20231,1111053000,사직동,CS300023,미용재료,4,4,0,0,0,0,0
20231,1111053000,사직동,CS300024,운동/경기용품,14,14,7,1,0,0,0
20231,1111053000,사직동,CS300025,자전거 및 기타운송장비,0,0,0,0,0,1,0
20231,1111053000,사직동,CS300026,완구,2,2,0,0,0,0,0
20231,1111053000,사직동,CS300027,섬유제품,6,6,0,0,0,0,0
20231,1111053000,사직동,CS300028,화초,35,35,0,0,3,1,0
20231,1111053000,사직동,CS300029,애완동물,4,4,25,1,0,0,0
20231,1111053000,사직동,CS300031,가구,4,4,0,0,0,0,0
20231,1111053000,사직동,CS300032,가전제품,5,5,0,0,0,0,0
20231,1111053000,사직동,CS300033,철물점,4,4,0,0,0,0,0
20231,1111053000,사직동,CS300034,악기,4,4,0,0,0,0,0
20231,1111053000,사직동,CS300035,인테리어,9,9,11,1,0,0,0
20231,1111053000,사직동,CS300036,조명용품,22,22,5,1,0,0,0
20231,1111053000,사직동,CS300038,자동차부품,9,9,0,0,0,0,0
20231,1111053000,사직동,CS300039,모터사이클및부품,1,1,0,0,0,0,0
20231,1111053000,사직동,CS300040,재생용품 판매점,5,5,0,0,0,0,0
20231,1111053000,사직동,CS300041,예술품,30,30,3,1,3,1,0
20231,1111053000,사직동,CS300042,주유소,2,2,0,0,0,0,0
20231,1111053000,사직동,CS300043,전자상거래업,93,93,0,0,4,4,0
20231,1111054000,삼청동,CS100001,한식음식점,67,69,1,1,0,0,2
20231,1111054000,삼청동,CS100002,중식음식점,3,3,0,0,0,0,0
20231,1111054000,삼청동,CS100003,일식음식점,8,8,0,0,0,0,0
20231,1111054000,삼청동,CS100004,양식음식점,45,45,2,1,0,0,0
20231,1111054000,삼청동,CS100005,제과점,13,15,0,0,0,0,2
20231,1111054000,삼청동,CS100006,패스트푸드점,3,5,0,0,0,0,2
20231,1111054000,삼청동,CS100007,치킨전문점,0,1,0,0,100,1,1
20231,1111054000,삼청동,CS100008,분식전문점,23,29,0,0,0,0,6
20231,1111054000,삼청동,CS100009,호프-간이주점,6,9,0,0,0,0,3
20231,1111054000,삼청동,CS100010,커피-음료,73,86,4,3,0,0,13
20231,1111054000,삼청동,CS200001,일반교습학원,1,1,0,0,0,0,0
20231,1111054000,삼청동,CS200002,외국어학원,1,1,0,0,0,0,0
20231,1111054000,삼청동,CS200003,예술학원,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS200005,스포츠 강습,3,3,0,0,0,0,0
20231,1111054000,삼청동,CS200006,일반의원,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS200007,치과의원,3,3,0,0,0,0,0
20231,1111054000,삼청동,CS200008,한의원,3,3,0,0,0,0,0
20231,1111054000,삼청동,CS200010,변호사사무소,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS200011,변리사사무소,1,1,0,0,0,0,0
20231,1111054000,삼청동,CS200013,기타법무서비스,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS200015,세무사사무소,1,1,0,0,0,0,0
20231,1111054000,삼청동,CS200016,당구장,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS200021,기타오락장,3,3,0,0,0,0,0
20231,1111054000,삼청동,CS200024,스포츠클럽,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS200028,미용실,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS200030,피부관리실,4,4,0,0,0,0,0
20231,1111054000,삼청동,CS200031,세탁소,1,1,0,0,0,0,0
20231,1111054000,삼청동,CS200033,부동산중개업,14,14,0,0,0,0,0
20231,1111054000,삼청동,CS200034,여관,4,4,0,0,0,0,0
20231,1111054000,삼청동,CS200035,게스트하우스,11,11,0,0,0,0,0
20231,1111054000,삼청동,CS200036,고시원,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS200041,사진관,11,11,0,0,0,0,0
20231,1111054000,삼청동,CS200042,통번역서비스,1,1,0,0,0,0,0
20231,1111054000,삼청동,CS200043,건축물청소,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS200044,여행사,7,7,0,0,0,0,0
20231,1111054000,삼청동,CS200046,의류임대,7,7,0,0,14,1,0
20231,1111054000,삼청동,CS300001,슈퍼마켓,19,19,0,0,0,0,0
20231,1111054000,삼청동,CS300002,편의점,0,6,0,0,0,0,6
20231,1111054000,삼청동,CS300003,컴퓨터및주변장치판매,1,1,0,0,100,1,0
20231,1111054000,삼청동,CS300005,주류도매,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS300006,미곡판매,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS300007,육류판매,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS300009,청과상,1,1,0,0,0,0,0
20231,1111054000,삼청동,CS300010,반찬가게,16,16,0,0,0,0,0
20231,1111054000,삼청동,CS300011,일반의류,69,69,1,1,3,2,0
20231,1111054000,삼청동,CS300012,한복점,9,9,11,1,11,1,0
20231,1111054000,삼청동,CS300013,유아의류,5,5,0,0,0,0,0
20231,1111054000,삼청동,CS300014,신발,4,4,0,0,0,0,0
20231,1111054000,삼청동,CS300015,가방,12,12,0,0,0,0,0
20231,1111054000,삼청동,CS300017,시계및귀금속,11,11,0,0,0,0,0
20231,1111054000,삼청동,CS300018,의약품,5,5,0,0,0,0,0
20231,1111054000,삼청동,CS300019,의료기기,1,1,0,0,0,0,0
20231,1111054000,삼청동,CS300020,서적,3,3,0,0,0,0,0
20231,1111054000,삼청동,CS300021,문구,2,3,0,0,0,0,1
20231,1111054000,삼청동,CS300022,화장품,18,22,0,0,0,0,4
20231,1111054000,삼청동,CS300023,미용재료,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS300024,운동/경기용품,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS300026,완구,2,2,0,0,0,0,0
20231,1111054000,삼청동,CS300027,섬유제품,5,5,0,0,0,0,0
20231,1111054000,삼청동,CS300028,화초,11,11,0,0,0,0,0
20231,1111054000,삼청동,CS300031,가구,6,6,0,0,0,0,0
20231,1111054000,삼청동,CS300032,가전제품,1,1,0,0,0,0,0
20231,1111054000,삼청동,CS300033,철물점,1,1,0,0,0,0,0
20231,1111054000,삼청동,CS300035,인테리어,5,5,0,0,0,0,0
20231,1111054000,삼청동,CS300041,예술품,90,90,1,1,0,0,0
20231,1111054000,삼청동,CS300043,전자상거래업,15,15,0,0,0,0,0
20231,1111055000,부암동,CS100001,한식음식점,33,35,3,1,3,1,2
20231,1111055000,부암동,CS100002,중식음식점,5,5,0,0,0,0,0
20231,1111055000,부암동,CS100003,일식음식점,4,5,0,0,0,0,1
20231,1111055000,부암동,CS100004,양식음식점,14,14,7,1,7,1,0
20231,1111055000,부암동,CS100005,제과점,7,7,0,0,14,1,0
20231,1111055000,부암동,CS100006,패스트푸드점,8,10,0,0,10,1,2
20231,1111055000,부암동,CS100007,치킨전문점,1,2,0,0,0,0,1
20231,1111055000,부암동,CS100008,분식전문점,17,20,0,0,5,1,3
20231,1111055000,부암동,CS100009,호프-간이주점,6,6,0,0,0,0,0
20231,1111055000,부암동,CS100010,커피-음료,25,29,7,2,7,2,4
20231,1111055000,부암동,CS200001,일반교습학원,21,24,0,0,0,0,3
20231,1111055000,부암동,CS200002,외국어학원,2,2,0,0,0,0,0
20231,1111055000,부암동,CS200003,예술학원,8,8,0,0,0,0,0
20231,1111055000,부암동,CS200005,스포츠 강습,5,5,0,0,0,0,0
20231,1111055000,부암동,CS200006,일반의원,1,1,0,0,0,0,0
20231,1111055000,부암동,CS200007,치과의원,3,3,0,0,0,0,0
20231,1111055000,부암동,CS200008,한의원,2,2,0,0,0,0,0
20231,1111055000,부암동,CS200009,동물병원,2,2,0,0,0,0,0
20231,1111055000,부암동,CS200013,기타법무서비스,1,1,0,0,0,0,0
20231,1111055000,부암동,CS200015,세무사사무소,1,1,0,0,0,0,0
20231,1111055000,부암동,CS200017,골프연습장,1,1,0,0,0,0,0
20231,1111055000,부암동,CS200021,기타오락장,3,3,0,0,0,0,0
20231,1111055000,부암동,CS200024,스포츠클럽,1,1,0,0,0,0,0
20231,1111055000,부암동,CS200025,자동차수리,7,8,0,0,0,0,1
20231,1111055000,부암동,CS200026,자동차미용,2,2,0,0,0,0,0
20231,1111055000,부암동,CS200028,미용실,9,9,0,0,0,0,0
20231,1111055000,부암동,CS200030,피부관리실,1,1,0,0,0,0,0
20231,1111055000,부암동,CS200031,세탁소,6,8,0,0,0,0,2
20231,1111055000,부암동,CS200033,부동산중개업,26,26,0,0,4,1,0
20231,1111055000,부암동,CS200034,여관,2,2,0,0,50,1,0
20231,1111055000,부암동,CS200035,게스트하우스,6,6,0,0,0,0,0
