기준_년분기_코드,행정동_코드,행정동_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
20231,1130564500,우이동,LH,상권확장,98,52,104,52
20233,1130566000,인수동,LL,다이나믹,99,47,107,52
20232,1130566000,인수동,LL,다이나믹,98,47,106,52
20231,1130566000,인수동,LL,다이나믹,95,46,104,52
20233,1132051100,창1동,LL,다이나믹,100,50,107,52
20232,1132051100,창1동,LL,다이나믹,98,50,106,52
20231,1132051100,창1동,LL,다이나믹,97,49,104,52
20233,1117051000,후암동,LH,상권확장,102,55,107,52
20232,1117051000,후암동,LH,상권확장,101,55,106,52
20231,1117051000,후암동,LH,상권확장,100,55,104,52
20233,1117052000,용산2가동,LL,다이나믹,83,46,107,52
20232,1117052000,용산2가동,LL,다이나믹,83,46,106,52
20231,1117052000,용산2가동,LL,다이나믹,82,46,104,52
20233,1117053000,남영동,HH,정체,113,57,107,52
20232,1117053000,남영동,HH,정체,111,57,106,52
20231,1117053000,남영동,HH,정체,109,57,104,52
20233,1117055500,청파동,HH,정체,110,53,107,52
20232,1117055500,청파동,HH,정체,109,53,106,52
20231,1117055500,청파동,HH,정체,109,53,104,52
20233,1117056000,원효로1동,HH,정체,126,57,107,52
20232,1117056000,원효로1동,HH,정체,124,57,106,52
20231,1117056000,원효로1동,HH,정체,122,57,104,52
20233,1117057000,원효로2동,HH,정체,136,54,107,52
20232,1117057000,원효로2동,HH,정체,134,54,106,52
20231,1117057000,원효로2동,HH,정체,132,54,104,52
20233,1117058000,효창동,LH,상권확장,105,59,107,52
20232,1117058000,효창동,LH,상권확장,103,59,106,52
20231,1117058000,효창동,LH,상권확장,102,59,104,52
20233,1117059000,용문동,HH,정체,115,53,107,52
20232,1117059000,용문동,HH,정체,113,52,106,52
20231,1117059000,용문동,HH,정체,112,52,104,52
20233,1117062500,한강로동,HH,정체,127,58,107,52
20232,1117062500,한강로동,HH,정체,125,58,106,52
20231,1117062500,한강로동,HH,정체,124,57,104,52
20233,1117063000,이촌1동,HH,정체,135,62,107,52
20232,1117063000,이촌1동,HH,정체,134,62,106,52
20231,1117063000,이촌1동,HH,정체,131,61,104,52
20233,1117064000,이촌2동,HH,정체,116,65,107,52
20232,1117064000,이촌2동,HH,정체,113,65,106,52
20231,1117064000,이촌2동,HH,정체,111,65,104,52
20233,1117065000,이태원1동,HH,정체,126,62,107,52
20232,1117065000,이태원1동,HH,정체,125,61,106,52
20231,1117065000,이태원1동,HH,정체,123,61,104,52
20233,1117066000,이태원2동,LL,다이나믹,82,47,107,52
20232,1117066000,이태원2동,LL,다이나믹,81,47,106,52
20231,1117066000,이태원2동,LL,다이나믹,80,46,104,52
20233,1117068500,한남동,LL,다이나믹,97,52,107,52
20232,1117068500,한남동,LL,다이나믹,95,52,106,52
20231,1117068500,한남동,LL,다이나믹,94,51,104,52
20233,1117069000,서빙고동,HH,정체,109,61,107,52
20232,1117069000,서빙고동,HH,정체,107,61,106,52
20231,1117069000,서빙고동,LH,상권확장,104,61,104,52
20233,1117070000,보광동,HL,상권축소,113,51,107,52
20232,1117070000,보광동,HL,상권축소,110,51,106,52
20231,1117070000,보광동,HL,상권축소,107,51,104,52
20233,1120052000,왕십리2동,LL,다이나믹,94,50,107,52
20232,1120052000,왕십리2동,LL,다이나믹,92,51,106,52
20231,1120052000,왕십리2동,LL,다이나믹,91,51,104,52
20233,1120053500,왕십리도선동,LL,다이나믹,88,50,107,52
20232,1120053500,왕십리도선동,LL,다이나믹,87,50,106,52
20231,1120053500,왕십리도선동,LL,다이나믹,85,50,104,52
20233,1120054000,마장동,HH,정체,130,64,107,52
20232,1120054000,마장동,HH,정체,128,64,106,52
20231,1120054000,마장동,HH,정체,126,63,104,52
20233,1120055000,사근동,LH,상권확장,99,52,107,52
20232,1120055000,사근동,LH,상권확장,97,52,106,52
20231,1120055000,사근동,LH,상권확장,95,52,104,52
20233,1120056000,행당1동,LH,상권확장,105,53,107,52
20232,1120056000,행당1동,LH,상권확장,103,53,106,52
20231,1120056000,행당1동,LH,상권확장,103,53,104,52
20233,1120057000,행당2동,LL,다이나믹,91,50,107,52
20232,1120057000,행당2동,LL,다이나믹,89,50,106,52
20231,1120057000,행당2동,LL,다이나믹,87,50,104,52
20233,1120058000,응봉동,LL,다이나믹,104,49,107,52
20232,1120058000,응봉동,LL,다이나믹,101,50,106,52
20231,1120058000,응봉동,LL,다이나믹,98,49,104,52
20233,1120059000,금호1가동,LH,상권확장,92,55,107,52
20232,1120059000,금호1가동,LH,상권확장,91,54,106,52
20231,1120059000,금호1가동,LH,상권확장,89,54,104,52
20233,1120061500,금호2?3가동,HH,정체,110,55,107,52
20232,1120061500,금호2?3가동,HH,정체,109,55,106,52
20231,1120061500,금호2?3가동,HH,정체,107,55,104,52
20233,1120062000,금호4가동,LH,상권확장,102,55,107,52
20232,1120062000,금호4가동,LH,상권확장,101,55,106,52
20231,1120062000,금호4가동,LH,상권확장,100,55,104,52
20233,1120064500,옥수동,LL,다이나믹,90,49,107,52
20232,1120064500,옥수동,LL,다이나믹,88,49,106,52
20231,1120064500,옥수동,LL,다이나믹,85,49,104,52
20233,1120065000,성수1가1동,LH,상권확장,91,54,107,52
20232,1120065000,성수1가1동,LH,상권확장,91,54,106,52
20231,1120065000,성수1가1동,LH,상권확장,90,54,104,52
20233,1120066000,성수1가2동,LL,다이나믹,79,51,107,52
20232,1120066000,성수1가2동,LL,다이나믹,78,51,106,52
20231,1120066000,성수1가2동,LL,다이나믹,78,51,104,52
20233,1120067000,성수2가1동,LL,다이나믹,97,50,107,52
20232,1120067000,성수2가1동,LL,다이나믹,97,50,106,52
20231,1120067000,성수2가1동,LL,다이나믹,94,50,104,52
20233,1120069000,성수2가3동,LH,상권확장,90,53,107,52
20232,1120069000,성수2가3동,LH,상권확장,89,53,106,52
20231,1120069000,성수2가3동,LH,상권확장,88,53,104,52
20233,1120072000,송정동,LL,다이나믹,105,51,107,52
20232,1120072000,송정동,LL,다이나믹,106,51,106,52
20231,1120072000,송정동,LL,다이나믹,103,51,104,52
20233,1120079000,용답동,HH,정체,136,58,107,52
20232,1120079000,용답동,HH,정체,134,58,106,52
20231,1120079000,용답동,HH,정체,133,57,104,52
20233,1121571000,화양동,LL,다이나믹,91,50,107,52
20232,1121571000,화양동,LL,다이나믹,90,49,106,52
20231,1121571000,화양동,LL,다이나믹,90,49,104,52
20233,1121573000,군자동,LL,다이나믹,97,49,107,52
20232,1121573000,군자동,LL,다이나믹,95,49,106,52
20231,1121573000,군자동,LL,다이나믹,93,49,104,52
20233,1121574000,중곡1동,LL,다이나믹,104,51,107,52
20232,1121574000,중곡1동,LL,다이나믹,102,51,106,52
20231,1121574000,중곡1동,LL,다이나믹,102,50,104,52
20233,1121575000,중곡2동,HL,상권축소,108,48,107,52
20232,1121575000,중곡2동,LL,다이나믹,106,48,106,52
20231,1121575000,중곡2동,LL,다이나믹,103,48,104,52
20233,1121576000,중곡3동,LL,다이나믹,101,49,107,52
20232,1121576000,중곡3동,LL,다이나믹,98,48,106,52
20231,1121576000,중곡3동,LL,다이나믹,97,48,104,52
20233,1121577000,중곡4동,HL,상권축소,110,52,107,52
20232,1121577000,중곡4동,HL,상권축소,109,52,106,52
20231,1121577000,중곡4동,HL,상권축소,108,51,104,52
20233,1121578000,능동,LH,상권확장,97,53,107,52
20232,1121578000,능동,LH,상권확장,96,53,106,52
20231,1121578000,능동,LH,상권확장,95,52,104,52
20233,1121581000,광장동,LH,상권확장,97,53,107,52
20232,1121581000,광장동,LH,상권확장,96,52,106,52
20231,1121581000,광장동,LH,상권확장,93,52,104,52
20233,1121582000,자양1동,LL,다이나믹,103,50,107,52
20232,1121582000,자양1동,LL,다이나믹,102,50,106,52
20231,1121582000,자양1동,LL,다이나믹,100,50,104,52
20233,1121583000,자양2동,LL,다이나믹,106,50,107,52
20232,1121583000,자양2동,LL,다이나믹,104,50,106,52
20231,1121583000,자양2동,LL,다이나믹,103,50,104,52
20233,1123071000,회기동,LL,다이나믹,96,48,107,52
20232,1123071000,회기동,LL,다이나믹,95,48,106,52
20231,1123071000,회기동,LL,다이나믹,95,48,104,52
20233,1123072000,휘경1동,LH,상권확장,106,53,107,52
20232,1123072000,휘경1동,LH,상권확장,105,53,106,52
20231,1123072000,휘경1동,LH,상권확장,104,53,104,52
20233,1123073000,휘경2동,LL,다이나믹,88,50,107,52
20232,1123073000,휘경2동,LL,다이나믹,86,49,106,52
20231,1123073000,휘경2동,LL,다이나믹,85,49,104,52
20233,1123074000,이문1동,HH,정체,114,55,107,52
20232,1123074000,이문1동,HH,정체,112,55,106,52
20231,1123074000,이문1동,HH,정체,109,55,104,52
20233,1123075000,이문2동,LL,다이나믹,105,51,107,52
20232,1123075000,이문2동,LL,다이나믹,104,50,106,52
20231,1123075000,이문2동,LL,다이나믹,102,51,104,52
20233,1126052000,면목2동,LL,다이나믹,107,48,107,52
20232,1126052000,면목2동,HL,상권축소,106,48,106,52
20231,1126052000,면목2동,HL,상권축소,105,48,104,52
20233,1126054000,면목4동,LL,다이나믹,98,48,107,52
20232,1126054000,면목4동,LL,다이나믹,97,47,106,52
20231,1126054000,면목4동,LL,다이나믹,95,47,104,52
20233,1126055000,면목5동,LL,다이나믹,95,48,107,52
20232,1126055000,면목5동,LL,다이나믹,93,47,106,52
20231,1126055000,면목5동,LL,다이나믹,90,47,104,52
20233,1126056500,면목본동,LL,다이나믹,104,47,107,52
20232,1126056500,면목본동,LL,다이나믹,103,47,106,52
20231,1126056500,면목본동,LL,다이나믹,102,47,104,52
20233,1126057000,면목7동,HL,상권축소,111,49,107,52
20232,1126057000,면목7동,HL,상권축소,109,49,106,52
20231,1126057000,면목7동,HL,상권축소,108,48,104,52
20233,1126057500,면목3?8동,LL,다이나믹,100,49,107,52
20232,1126057500,면목3?8동,LL,다이나믹,98,48,106,52
20231,1126057500,면목3?8동,LL,다이나믹,98,48,104,52
20233,1126058000,상봉1동,LL,다이나믹,95,48,107,52
20232,1126058000,상봉1동,LL,다이나믹,93,47,106,52
20231,1126058000,상봉1동,LL,다이나믹,91,47,104,52
20233,1126059000,상봉2동,LL,다이나믹,97,51,107,52
20232,1126059000,상봉2동,LL,다이나믹,97,51,106,52
20231,1126059000,상봉2동,LL,다이나믹,96,50,104,52
20233,1126060000,중화1동,HL,상권축소,108,50,107,52
20232,1126060000,중화1동,LL,다이나믹,105,50,106,52
20231,1126060000,중화1동,LL,다이나믹,103,50,104,52
20233,1126061000,중화2동,HL,상권축소,108,49,107,52
20232,1126061000,중화2동,HL,상권축소,106,49,106,52
20231,1126061000,중화2동,LL,다이나믹,104,49,104,52
20233,1126062000,묵1동,LL,다이나믹,98,50,107,52
20232,1126062000,묵1동,LL,다이나믹,96,49,106,52
20231,1126062000,묵1동,LL,다이나믹,95,49,104,52
20233,1126063000,묵2동,LL,다이나믹,101,50,107,52
20232,1126063000,묵2동,LL,다이나믹,100,50,106,52
20231,1126063000,묵2동,LL,다이나믹,99,50,104,52
20233,1126065500,망우본동,LL,다이나믹,105,49,107,52
20232,1126065500,망우본동,LL,다이나믹,103,49,106,52
20231,1126065500,망우본동,LL,다이나믹,103,49,104,52
20233,1126066000,망우3동,LL,다이나믹,104,46,107,52
20232,1126066000,망우3동,LL,다이나믹,102,46,106,52
20231,1126066000,망우3동,LL,다이나믹,100,46,104,52
20233,1126068000,신내1동,LL,다이나믹,95,49,107,52
20232,1126068000,신내1동,LL,다이나믹,92,49,106,52
20231,1126068000,신내1동,LL,다이나믹,91,49,104,52
20233,1126069000,신내2동,LL,다이나믹,104,51,107,52
20232,1126069000,신내2동,LL,다이나믹,103,51,106,52
20231,1126069000,신내2동,LL,다이나믹,101,50,104,52
20233,1129052500,성북동,HH,정체,110,56,107,52
20232,1129052500,성북동,HH,정체,108,56,106,52
20231,1129052500,성북동,HH,정체,107,56,104,52
20233,1129055500,삼선동,LL,다이나믹,107,52,107,52
20232,1129055500,삼선동,HH,정체,107,52,106,52
20231,1129055500,삼선동,HL,상권축소,106,51,104,52
20233,1132068100,쌍문4동,LL,다이나믹,94,50,107,52
20232,1132068100,쌍문4동,LL,다이나믹,91,51,106,52
20231,1132068100,쌍문4동,LL,다이나믹,89,50,104,52
20233,1132069000,방학1동,LL,다이나믹,99,48,107,52
20232,1132069000,방학1동,LL,다이나믹,97,48,106,52
20231,1132069000,방학1동,LL,다이나믹,96,48,104,52
20233,1132070000,방학2동,LL,다이나믹,100,49,107,52
20232,1132070000,방학2동,LL,다이나믹,99,48,106,52
20231,1132070000,방학2동,LL,다이나믹,99,48,104,52
20233,1132071000,방학3동,LH,상권확장,98,52,107,52
20232,1132071000,방학3동,LH,상권확장,95,52,106,52
20231,1132071000,방학3동,LH,상권확장,93,52,104,52
20233,1135056000,월계1동,LL,다이나믹,105,52,107,52
20232,1135056000,월계1동,LL,다이나믹,103,51,106,52
20231,1135056000,월계1동,LL,다이나믹,102,51,104,52
20233,1135057000,월계2동,LL,다이나믹,94,51,107,52
20232,1135057000,월계2동,LL,다이나믹,92,51,106,52
20231,1135057000,월계2동,LL,다이나믹,90,51,104,52
20233,1135058000,월계3동,LH,상권확장,94,54,107,52
20232,1135058000,월계3동,LH,상권확장,93,53,106,52
20231,1135058000,월계3동,LH,상권확장,90,54,104,52
20233,1135059500,공릉1동,LH,상권확장,102,52,107,52
20232,1135059500,공릉1동,LH,상권확장,100,52,106,52
20231,1135059500,공릉1동,LL,다이나믹,99,51,104,52
20233,1135060000,공릉2동,LL,다이나믹,91,50,107,52
20232,1135060000,공릉2동,LL,다이나믹,89,50,106,52
20231,1135060000,공릉2동,LL,다이나믹,88,49,104,52
20233,1135061100,하계1동,LL,다이나믹,102,52,107,52
20232,1135061100,하계1동,LL,다이나믹,101,51,106,52
20231,1135061100,하계1동,LL,다이나믹,99,51,104,52
20233,1135061200,하계2동,LH,상권확장,95,53,107,52
20232,1135061200,하계2동,LH,상권확장,93,53,106,52
20231,1135061200,하계2동,LH,상권확장,92,52,104,52
20233,1135061900,중계본동,LL,다이나믹,97,48,107,52
20232,1135061900,중계본동,LL,다이나믹,95,48,106,52
20231,1135061900,중계본동,LL,다이나믹,94,47,104,52
20233,1135062100,중계1동,LL,다이나믹,99,50,107,52
20232,1135062100,중계1동,LL,다이나믹,97,50,106,52
20231,1135062100,중계1동,LL,다이나믹,96,49,104,52
20233,1135062400,중계4동,LL,다이나믹,97,48,107,52
20232,1135062400,중계4동,LL,다이나믹,98,47,106,52
20231,1135062400,중계4동,LL,다이나믹,96,47,104,52
